_id,ftype,fname,nid,metadata
1370,8,4110B,4044,
1371,8,4111,4045,
1372,2,4112,4046,
1373,2,4113,4047,
1374,2,4114,4048,
1375,2,4115,4049,
1376,8,4115A,4050,
1377,2,4116,4051,
1378,8,4116A,4052,
1379,8,4116B,4053,
1380,8,4116C,4054,
1381,8,4116D,4055,
1382,2,4117,4056,
1383,2,4118,4057,
1384,2,4119,4058,
1385,2,4120,4059,
1386,2,4121,4060,
1387,2,4122,4061,
1388,2,4123,4062,
1389,2,4124,4063,
1390,2,4125,4064,
1391,2,4126,4065,
1392,2,4127,4066,
1393,2,4128,4067,
1394,2,4129,4068,
1395,2,4130A,4069,
1396,2,4130B,4070,
1397,2,4131,4071,
1398,2,4132,4072,
1399,2,4133,4073,
1400,2,4134,4074,
1401,2,4135,4075,
1402,2,4136,4076,
1403,2,4137,4077,
1404,2,4138,4078,
1405,2,4139,4079,
1406,2,4140,4080,
1407,2,4141,4081,
1408,2,4142,4082,
1409,2,4144,4083,
1410,2,4145,4084,
1411,2,4146,4085,
1412,2,4147,4086,
1413,2,4149-4150,4453,
1414,8,4149,4087,
1415,8,4150,4088,
1416,2,4160,4089,
1417,2,4161A,4090,
1418,2,4161B,4091,
1419,2,4201,4092,
1420,2,4202,4093,
1421,8,4202A,4094,
1422,2,4203,4095,
1423,2,4204,4096,
1424,2,4205,4097,
1425,8,4205A,4098,
1426,2,4206,4099,
1427,2,4207,4100,
1428,2,4208,4101,
1429,2,4209,4102,
1430,2,4210,4103,
1431,2,4211,4104,
1432,2,4212,4105,
1433,2,4213,4106,
1434,2,4214,4107,
1435,2,4214A,4108,
1436,2,4215,4109,
1437,2,4216,4110,
1438,2,4217,4111,
1439,8,4217A,4112,
1440,8,4217B,4113,
1441,8,4217C,4114,
1442,8,4217D,4115,
1443,8,4217E,4116,
1444,2,4218,4117,
1445,8,4218B,4118,
1446,8,4218C,4119,
1447,2,4218D,4120,
1448,2,4218G,4121,
1449,2,4218H,4122,
1450,2,4219,4123,
1451,8,4219A,4124,
1452,2,4220,4125,
1453,2,4221,4126,
1454,8,4221A,4127,
1455,2,4222,4128,
1456,8,4222A,4129,
1457,8,4222B,4130,
1458,8,4222C,4131,
1459,2,4223,4132,
1460,8,4223A,4133,
1461,8,4223B,4134,
1462,2,4224,4135,
1463,8,4224A,4136,
1464,8,4224B,4137,
1465,8,4224C,4138,
1466,2,4225,4139,
1467,8,4225A,4140,
1468,8,4225B,4141,
1469,2,4225C,4142,
1470,8,4226,4143,
1471,2,4226B,4144,
1472,8,4226C,4145,
1473,2,4227,4146,
1474,8,4227A,4147,
1475,8,4228,4148,
1476,8,4229,4149,
1477,2,4230,4150,
1478,8,4230A,4151,
1479,8,4230B,4152,
1480,2,4331,4153,
